1,14,02-03-2021 10:35:00,Fideua,2
2,18,04-07-2020 02:24:46,Tortilla,2
3,5,20-05-2020 01:33:55,Tortilla,1
3,5,20-05-2020 01:33:55,Gazpacho,3
3,5,20-05-2020 01:33:55,Paella,2
4,7,09-07-2019 00:34:42,Gazpacho,3
4,7,09-07-2019 00:34:42,Fideua,1
4,7,09-07-2019 00:34:42,Tortilla,1
4,7,09-07-2019 00:34:42,Quesadilla,1
5,12,19-05-2019 10:28:58,Paella,2
6,8,27-04-2020 01:14:47,Paella,1
6,8,27-04-2020 01:14:47,Gazpacho,3
6,8,27-04-2020 01:14:47,Fideua,3
6,8,27-04-2020 01:14:47,Tortilla,2
7,6,21-07-2019 11:45:16,Paella,2
7,6,21-07-2019 11:45:16,Tortilla,2
7,6,21-07-2019 11:45:16,Quesadilla,2
7,6,21-07-2019 11:45:16,Gazpacho,2
8,5,26-10-2020 16:16:05,Quesadilla,1
8,5,26-10-2020 16:16:05,Fideua,2
8,5,26-10-2020 16:16:05,Gazpacho,1
8,5,26-10-2020 16:16:05,Tortilla,3
9,8,16-11-2019 08:02:24,Gazpacho,2
10,17,24-12-2020 07:52:54,Gazpacho,2
10,17,24-12-2020 07:52:54,Tortilla,1
10,17,24-12-2020 07:52:54,Quesadilla,2
10,17,24-12-2020 07:52:54,Fideua,2
11,7,14-03-2020 21:24:22,Paella,3
12,12,12-01-2021 17:11:28,Gazpacho,1
12,12,12-01-2021 17:11:28,Paella,3
13,19,29-05-2021 01:31:34,Tortilla,1
13,19,29-05-2021 01:31:34,Quesadilla,2
13,19,29-05-2021 01:31:34,Fideua,3
13,19,29-05-2021 01:31:34,Paella,1
14,10,27-04-2019 16:16:54,Quesadilla,2
14,10,27-04-2019 16:16:54,Fideua,3
14,10,27-04-2019 16:16:54,Tortilla,2
14,10,27-04-2019 16:16:54,Gazpacho,1
15,7,22-01-2020 23:52:54,Paella,3
15,7,22-01-2020 23:52:54,Tortilla,1
16,6,10-07-2020 11:23:31,Gazpacho,3
17,18,26-07-2020 15:46:55,Paella,1
17,18,26-07-2020 15:46:55,Tortilla,1
18,20,16-08-2020 12:10:00,Tortilla,2
18,20,16-08-2020 12:10:00,Quesadilla,3
18,20,16-08-2020 12:10:00,Gazpacho,2
19,19,16-08-2019 21:16:13,Tortilla,3
19,19,16-08-2019 21:16:13,Gazpacho,2
19,19,16-08-2019 21:16:13,Fideua,1
19,19,16-08-2019 21:16:13,Quesadilla,2
20,14,08-02-2020 11:22:31,Quesadilla,3
20,14,08-02-2020 11:22:31,Paella,1
20,14,08-02-2020 11:22:31,Gazpacho,2
20,14,08-02-2020 11:22:31,Tortilla,3
21,2,03-12-2021 14:15:18,Quesadilla,2
21,2,03-12-2021 14:15:18,Fideua,1
21,2,03-12-2021 14:15:18,Tortilla,1
22,2,12-12-2021 09:46:01,Paella,1
22,2,12-12-2021 09:46:01,Fideua,3
23,2,20-01-2021 09:55:02,Gazpacho,2
24,14,12-03-2021 08:19:24,Tortilla,3
24,14,12-03-2021 08:19:24,Quesadilla,1
24,14,12-03-2021 08:19:24,Fideua,3
